image,palette1,palette0,id,title,thumbnail,shot_date,mod_date,slug,post_date
photos/punks-not-dead/20060516-_DSC0835_3.jpg,e1ddd5,443623,2,punk's not dead,photos/punks-not-dead/thumbnail_20060516-_DSC0835_2.jpg,2006-05-16,2011-04-09,punks-not-dead,2011-03-14
photos/tonights-sound/20090703-_DSC1330_3.jpg,a38b70,766351,3,tonight's sound,photos/tonights-sound/thumbnail_20090703-_DSC1330_3.jpg,2009-07-03,2011-04-09,tonights-sound,2011-03-14
photos/smooth-solid/20090505-_DSC3123_2.jpg,80a1ce,0,4,smooth; solid,photos/smooth-solid/thumbnail_20090505-_DSC3123_1.jpg,2009-05-05,2011-04-09,smooth-solid,2011-03-14
photos/headquarters/20090702-_DSC1227_2.jpg,e5a548,472d23,5,headquarters,photos/headquarters/thumbnail_20090702-_DSC1227_1.jpg,2009-07-02,2011-04-09,headquarters,2011-03-14
photos/unze/20090707-_DSC2294_2.jpg,0685fd,1844,6,unze,photos/unze/thumbnail_20090707-_DSC2294_1.jpg,2009-07-07,2011-04-09,unze,2011-03-14
photos/source/20091022-_DSC5338_2.jpg,2494,00173e,7,the source?,photos/source/thumbnail_20091022-_DSC5338_1.jpg,2009-10-22,2011-04-09,source,2011-03-14
photos/broken-ladder/20091022-_DSC5393_2.jpg,9b7f63,46433a,8,broken ladder,photos/broken-ladder/thumbnail_20091022-_DSC5393_1.jpg,2009-10-22,2011-04-09,broken-ladder,2011-03-14
photos/spaceships/20091111-_DSC6413_2.jpg,5a5a5a,1d1d1d,9,spaceships,photos/spaceships/thumbnail_20091111-_DSC6413_1.jpg,2009-11-11,2011-04-09,spaceships,2011-03-16
photos/gallagher/20091214-_DSC7583_2.jpg,b5a56b,2e383e,10,gallagher,photos/gallagher/thumbnail_20091214-_DSC7583_2.jpg,2009-12-14,2011-04-09,gallagher,2011-03-18
photos/anonymous-blaze/20091215-_DSC7709_2.jpg,e5c06d,29170f,11,anonymous blaze,photos/anonymous-blaze/thumbnail_20091215-_DSC7709_1.jpg,2009-12-15,2011-04-09,anonymous-blaze,2011-03-21
photos/our-branches/20091215-_DSC7792_2.jpg,bfbcb8,302826,12,with our branches,photos/our-branches/thumbnail_20091215-_DSC7792_1.jpg,2009-12-15,2011-04-09,our-branches,2011-03-23
photos/ant-hive/20091216-_DSC7998_2.jpg,c6c6c6,412525,13,ant hive,photos/ant-hive/thumbnail_20091216-_DSC7998_2.jpg,2009-12-16,2011-04-09,ant-hive,2011-03-25
photos/hidden/20091216-_DSC8300_2.jpg,acacac,212121,14,hidden,photos/hidden/thumbnail_20091216-_DSC8300_2.jpg,2009-12-16,2011-04-09,hidden,2011-03-28
photos/last-years-view/20091216-_DSC8274_2.jpg,d8dce4,585c64,15,last year's view,photos/last-years-view/thumbnail_20091216-_DSC8274_2.jpg,2009-12-16,2011-04-09,last-years-view,2011-03-30
photos/snakes-shudder/20091216-_DSC8134_2.jpg,c4aa6c,1c1b13,16,snakes shudder,photos/snakes-shudder/thumbnail_20091216-_DSC8134_2.jpg,2009-12-16,2011-04-09,snakes-shudder,2011-04-01
photos/unbelievable-undeniable/20100220-_DSC9284_2.jpg,fed967,510017,17,unbelievable; undeniable,photos/unbelievable-undeniable/thumbnail_20100220-_DSC9284_2.jpg,2010-02-20,2011-04-09,unbelievable-undeniable,2011-03-14
photos/fill-gaps/202.jpg,008efd,2049,18,fill in the gaps,photos/fill-gaps/thumbnail_202.jpg,2008-07-20,2011-04-09,fill-gaps,2008-07-20
photos/thrash/123.jpg,feefd1,1b1c00,19,thrash,photos/thrash/thumbnail_123.jpg,2007-03-04,2011-04-09,thrash,2007-03-04
photos/last-night-they-came-me/186.jpg,c5a568,01031f,20,last night they came for me,photos/last-night-they-came-me/thumbnail_186.jpg,2007-11-07,2011-04-09,last-night-they-came-me,2007-11-07
